feature_id,geometry_edition,evidence_class,geometry_basis,provider,product,variable,version,source_url,license_id,compatibility,decision_authority,decision_date,citation,acquired_at,source_checksum,crs,longitude_convention,depth_layer,time_interval,baseline_threshold,missing_values,simplification_tolerance,transform_command,output_checksum,reviewer_status,geometry_path
indo-pacific-warm-pool,atlas-08,CONCEPTUAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OSW source register,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,declared in catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
western-hemisphere-warm-pool,atlas-08,CONCEPTUAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OSW source register,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,declared in catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
northeast-pacific-blob,atlas-08,OBSERVATIONAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OSW source register,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,declared in catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
el-nino-tongue,atlas-08,CONCEPTUAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OSW source register,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,declared in catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
gulf-stream,atlas-08,CONCEPTUAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OSW source register,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,declared in catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
kuroshio,atlas-08,CONCEPTUAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OSW source register,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,declared in catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
agulhas,atlas-08,CONCEPTUAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OSW source register,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,declared in catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
antarctic-circumpolar-current,atlas-08,OBSERVATIONAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OSW source register,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,declared in catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
circumpolar-deep-water,atlas-08,SYNTHESIS,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OSW source register,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,declared in catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
atlantic-water-arctic,atlas-08,OBSERVATIONAL,illustrative,OSW,Feature overlay,schematic footprint,atlas-08,../SOURCE-REGISTER.md,MIT,compatible,project-owner,2026-08-29,OSW source register,2026-08-29,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,EPSG:4326,-180_to_180,declared in catalog,not applicable,not applicable,not applicable,not applicable,python analysis/build_atlas_feature_overlay.py,6f1511d0d01dfcf60e07130cc9c066e4349638a8255fb4789f45fd2ef7f61d91,draft,../figures/osw-atlas-feature-shapes.svg
