relation_id,subject_id,predicate,object_id,qualification,status
REL001,OBJ002,subtype_of,OBJ001,mode water is a property-defined water mass,established
REL002,OBJ003,subtype_of,OBJ001,overflow water is a source and density-qualified water mass,established
REL003,OBJ004,subtype_of,OBJ001,river plumes are source-tagged material bodies,qualified
REL004,OBJ005,subtype_of,OBJ001,hydrothermal plumes are source-tagged material bodies,qualified
REL005,OBJ013,subtype_of,OBJ012,density is the diagnosed frontal property,established
REL006,OBJ014,subtype_of,OBJ012,the front is associated with shelf-break hydrography,established
REL007,OBJ015,subtype_of,OBJ012,the edge supports strong ocean-property gradients,qualified
REL008,OBJ016,subtype_of,OBJ012,the edge is diagnosed from plume-property gradients,qualified
REL009,OBJ019,subtype_of,OBJ017,a boundary current is a current organized near a boundary,established
REL010,OBJ022,subtype_of,OBJ021,a ring is a detached or looping eddy class,qualified
REL011,OBJ029,subtype_of,OBJ028,an attracting LCS is one finite-time barrier structure,qualified
REL012,OBJ030,subtype_of,OBJ028,a repelling LCS is one finite-time barrier structure,qualified
REL013,OBJ007,often_coincides_with,OBJ009,temperature gradients often contribute to density stratification,qualified
REL014,OBJ008,often_coincides_with,OBJ009,salinity gradients often contribute to density stratification,qualified
REL015,OBJ012,often_coincides_with,OBJ018,geostrophic jets frequently follow density fronts,qualified
REL016,OBJ014,often_coincides_with,OBJ019,shelf-break fronts can organize boundary currents,qualified
REL017,OBJ021,reshapes,OBJ012,eddy stirring and fluxes displace and deform fronts,established
REL018,OBJ024,produced_by,OBJ021,eddy strain can stretch property fields into filaments,qualified
REL019,OBJ001,carried_by,OBJ017,a current transports but does not uniquely define a water mass,qualified
REL020,OBJ004,carried_by,OBJ017,ambient and plume circulation advect river-source signatures,qualified
REL021,OBJ005,carried_by,OBJ017,neutrally buoyant plume layers disperse with currents,established
REL022,OBJ017,measured_across,OBJ032,a perpendicular gate can integrate current transport,qualified
REL023,OBJ034,part_of,OBJ032,a branch is a declared subset of gate transport,established
REL024,OBJ033,part_of,OBJ032,native faces discretize a model-grid gate,established
REL025,OBJ032,bounds,OBJ035,multiple consistently oriented gates can bound a control volume,qualified
REL026,OBJ035,supports,OBJ036,a closed control volume supports a relay budget,osw_construct
REL027,OBJ037,diagnosed_by,OBJ035,flux convergence is diagnosed from a closed budget geometry,qualified
REL028,OBJ038,transforms,OBJ001,mixing changes water-mass property distributions,established
REL029,OBJ040,transforms,OBJ006,entrainment changes mixed-layer thickness and properties,established
REL030,OBJ041,transforms,OBJ001,convection can alter water properties and class volumes,qualified
REL031,OBJ042,moves_across,OBJ006,subduction transfers water beneath the surface mixed layer,established
REL032,OBJ043,changes_membership_of,OBJ001,transformation is volume flux between property classes,established
REL033,OBJ044,changes_volume_of,OBJ001,formation is convergence into a property class,established
REL034,OBJ046,overlays,OBJ054,a heatwave event can occupy one or more reference provinces,established
REL035,OBJ050,overlays,OBJ054,a dynamic seascape can be compared with reference provinces,established
REL036,OBJ057,steers,OBJ019,shelf and slope geometry can organize boundary currents,qualified
REL037,OBJ061,steers,OBJ017,ridge geometry can constrain and redirect deep flow,qualified
REL038,OBJ064,channels,OBJ025,canyons can provide routes for topographically controlled exchange,qualified
REL039,OBJ067,drives,OBJ017,tides generate oscillatory tidal currents,established
REL040,OBJ068,transports_energy_through,OBJ009,internal waves propagate along or across stratification,qualified
REL041,OBJ070,bounds,OBJ011,sea ice changes the upper ocean boundary condition,qualified
REL042,OBJ071,opens_within,OBJ070,a polynya is an opening within sea-ice cover,qualified
REL043,OBJ015,bounds,OBJ070,the marginal ice edge separates ice-covered and open water,qualified
REL044,OBJ072,contains,OBJ001,ice-shelf cavities contain circulating and transforming seawater,established
REL045,OBJ073,often_coincides_with,OBJ032,a natural sill can motivate but does not uniquely define an analyst's gate,qualified
REL046,OBJ065,subtype_of,OBJ074,a wind wave is a locally wind-generated surface gravity wave,established
REL047,OBJ066,subtype_of,OBJ074,swell is surface-wave energy propagated beyond its generating weather,established
REL048,OBJ067,subtype_of,OBJ074,the astronomical tide behaves as a rotating long surface gravity wave,qualified
REL049,OBJ078,subtype_of,OBJ074,a tsunami is a long surface gravity wave from sudden displacement,established
REL050,OBJ067,drives,OBJ075,the tidal response includes horizontal tidal current,established
REL051,OBJ076,subtype_of,OBJ068,many oceanic Kelvin modes are internal boundary-trapped waves,qualified
REL052,OBJ069,transports_energy_through,OBJ007,Rossby waves can strongly displace the thermocline,qualified
REL053,OBJ077,supports,OBJ038,near-inertial energy can cascade toward turbulent mixing,qualified
REL054,OBJ079,overlays,OBJ067,storm tide combines storm surge and astronomical tide,established
REL055,OBJ080,subtype_of,OBJ074,a seiche is a basin-selected standing gravity wave,qualified
REL056,OBJ057,steers,OBJ078,shelf depth and coastal geometry modify tsunami propagation and amplification,qualified
REL057,OBJ081,subtype_of,OBJ001,a buoyant plume is source-tagged water within the broader material-body class,qualified
REL058,OBJ004,subtype_of,OBJ081,river discharge supplies buoyancy and a freshwater source signature,established
REL059,OBJ005,subtype_of,OBJ081,hydrothermal discharge is buoyant near its vent source,qualified
REL060,OBJ082,subtype_of,OBJ081,meltwater plumes carry a glacial or ice-shelf freshwater signature,established
REL061,OBJ081,entrains,OBJ001,a rising turbulent plume incorporates ambient seawater,established
REL062,OBJ081,carried_by,OBJ017,ambient currents advect a plume after and during spreading,qualified
REL063,OBJ083,produced_by,OBJ081,a buoyant plume can spread laterally near its neutral-buoyancy level as an intrusion,qualified
REL064,OBJ084,subtype_of,OBJ025,coastal upwelling is vertical exchange qualified by coast wind and offshore surface transport,established
REL065,OBJ085,subtype_of,OBJ025,equatorial upwelling is associated with divergence across the equator,established
REL066,OBJ086,drives,OBJ025,wind-stress-curl-driven Ekman pumping can produce an upwelling response,qualified
REL067,OBJ087,reshapes,OBJ009,isopycnal heave vertically displaces density surfaces without necessarily crossing them,established
REL068,OBJ025,reshapes,OBJ009,upwelling can raise thermocline and pycnocline surfaces,qualified
REL069,OBJ064,channels,OBJ088,submarine canyons commonly guide downslope turbidity currents,qualified
REL070,OBJ089,part_of,OBJ070,individual floes contribute to sea-ice cover,established
REL071,OBJ090,subtype_of,OBJ070,fast ice is sea-ice cover attached to coast seabed or grounded ice,established
REL072,OBJ091,subtype_of,OBJ070,pack ice is an assemblage of mobile sea-ice pieces,qualified
REL073,OBJ092,opens_within,OBJ070,a lead is a narrow opening within otherwise compact ice cover,qualified
REL074,OBJ093,bounds,OBJ072,the floating ice shelf forms the moving roof of its ocean cavity,established
REL075,OBJ094,bounds,OBJ093,the grounding line separates grounded glacier ice from floating shelf ice,established
REL076,OBJ094,bounds,OBJ072,the grounding line forms the landward limit of the ocean cavity,qualified
REL077,OBJ095,transforms,OBJ001,brine rejection increases salinity and can increase density of adjacent seawater,established
REL078,OBJ096,transforms,OBJ093,basal melting removes mass from the underside of an ice shelf,established
REL079,OBJ017,supports,OBJ096,heat-bearing cavity circulation can support ocean-driven basal melting,qualified
REL080,OBJ082,produced_by,OBJ096,basal melt supplies freshwater to a meltwater plume,qualified
REL081,OBJ072,channels,OBJ017,cavity and seabed geometry constrain circulation beneath an ice shelf,qualified
REL082,OBJ071,supports,OBJ041,some polynyas expose strong buoyancy fluxes that can support convection,qualified
REL083,OBJ090,bounds,OBJ071,fast ice or a coast can form one boundary of a coastal polynya,qualified
REL084,OBJ015,bounds,OBJ091,the marginal ice edge can mark the outer boundary of pack ice,qualified
